사용자,평점,댓글 내용
개가오,3,"장르적 긴장감을 이끌어내고 소재를 통해 호기심을 유발해
이야기를 지켜보게 하며 직관적인 이야기로 흡입력을 이끌어냈다.

동시에 의문을 증폭시키면서 한 치 앞을 알 수 없는 상황에
다채로운 인물의 충돌과 사건 사고의 연계를 통해 끊임없이
위기의식을 유발하면서 긴장감과 이야기 전개를 기대하게 했다.

하지만 후반부에 나아가면서 진실에 도달할 수록
작품 초중반에 구축한 흥미와 호기심이 흐릿해지기 시작하고

의문을 풀어가는 방식이 복선이 두드러지고 이야기를 뒤틀어
카타르시스를 느끼게 하거나 적당한 속임수와 의도된 생략을 통해
생각을 유도하면서 전개하며 이후 전말을 드러내는 방식 보단

마치 먼저 결말을 정해놓고 온갖 사건을 벌여놓으면서 드러난
이야깃거리들을 복선인 것처럼 끼워 맞춘 느낌이었다.

물론 몇가지 소재는 이야기 전개의 키포인트였고
복선으로 작용하긴 하지만 정작 작품의 주축이 되는 요소가
아무런 맥락없이 드러나는 바람에 아무런 감흥이 없었다.

또한 비밀을 지니고 몇 가지 장치와 소재를 통해 의심하고
생각하게 유도하는 연출이 있고 내막이 드러나면서
아직 풀리지 않은 의문점의 진실을 향해 나아가는데

상술한 아쉬움과 더불어 복선이 치밀하거나 인간 관계도에
흥미를 느낄만한 구간 없이 추격전 위주의 작품 구성이면서
이야기 전개에 알아서 설명해주고 풀이해 탐구할 여지가 없고

내막과 복선이 기반이 된 스토리라인임에도 재치가 없었으며
풀이하는 과정 역시 카타르시스가 전무한 수준이었다.

이러한 아쉬움을 채워줄 수 있는 액션과 추격전
그리고 하드보일드, 느와르 장르의 자극성 같이 상업적인 부분은
인간관계와 복선을 형성하고 내막을 들춰내는 것에 치중해

오락성을 느낄 수 있는 구간이 희생된 듯 짧게 느껴졌고
이마저도 밋밋하고 특별할 거 없는 연출로 일관해
추격전이란 소재가 무의미하게 느껴졌다.

불법 경기장 출신 아마추어 복서와 프로 킬러, 추격자
그리고 사이코패스와 다름없는 재벌가의 갈등 및 대립이라는
특수성으로 다채로운 액션과 추격전을 이끌어낼 수 있을탠데

그런 이점을 활용할 생각이 전혀 없는 것처럼 보였고 격돌하는 과정
역시 밋밋한 추격 및 액션 연출과 이야기 전개에 희생되었다.

해당 부분은 캐릭터성을 시각적으로 어필하는 요소가 될 수 있었는데
인물의 성향만 두드러지고 와 닿는 게 없어 진부했다.

덕분에 주인공과 추격자 그리고 재벌가라는 관계도를
묘사하는 과정에 난잡해지는 건 피할 순 있었지만

스토리텔링의 아쉬움에 액션 위주의 상업 영화라는 합리화나
변명도 불가능할 정도로 오락적인 부분에 장점을 찾기 어려웠고
특이점이나 청소년 관람 불가 치고는 자극성도 적었다.

빈곤한 삶을 살아가는 코피노와 혼혈이라는 소재가
전혀 빛을 발하지 못하고 편찮은 어머니를 치료하고 암울한 삶에
벗어나기 위해 아버지를 찾아 나서면서 드러난 응어리진 내면에

'귀공자'라고 불리는 프로 킬러와 추격전을 시작으로 위기의식이
드리우고 재벌가와 대립 그리고 유산을 위한 격돌이 시작되면서 주인공이 지닌 감정선에 울림을 가해 공감과 이입을 이끌어낼 수 있었는데

정작 추격전이 시작되자마자 점차 주인공의 사연이 흐릿해지기 시작하고
상술한 요소들이 무색할 정도로 어필하는 장면도 없었다.

전반적으로 그저 의문으로 시작해 호기심을 유발한 채로
하염없이 전개하다 아무런 감흥 없이 해소하고 매듭짓는 느낌이었고

언제 충돌할지 모르는 상황에 위기감과 불안감을 이끌어내
긴장감을 유지하면서 영화의 기반이 되는 소재와 인물의 응어리진
내면은 의문을 이끌어내고 상황을 지켜보게 하는 것에 소모될 뿐이었다.

그래도 그런 의도가 효과적이었는지 2시간의 러닝타임이
굉장히 짧게 느껴질 정도로 늘어짐 없이 감상했다.

무엇보다 박훈정 감독 특유의 현실감 없는 대사 성향을
이질감 없이 소화한 배우가 연기를 정말 훌륭했고

특히 김선호 배우가 맡은 캐릭터에 그런 대사들이 집결해 있는데
캐릭터의 성향을 이해하고 키 포인트를 집어내면서

추격자이자 킬러의 잔혹한 면모와 광기에 코믹함까지 지닌
캐릭터를 이질감 없이 소화해 오히려 유치함 보단 매력적으로 느껴졌다.

덕분에 밋밋한 이야기에 활기를 불어넣고 유일한 재미요소였다.

-쿠키 1개-"
송현,3,말로 하기 애매한 무언가가 빠져있다 ..
김 수 해,3,다른 단점들을 상쇄하는 배우들의 매력
TAL,3,"프로라고 하기엔 어딘가 많이 짜치는 인물들....
액션만큼은 Good"
배우 차재호,2,"슈퍼맨 vs 배트맨에 명대사가 마샤라면, 이 작품의 명대사는 코피노다."
이정훈,0.5,영화의 요소 중 단 하나도 제대로 된 것이 없다.
Julieta,2.5,"배우 팬심으로 보기에도 아슬아슬
프로? 앗잇참 이마탁"
혜니,2.5,에누리좀하지? 정찰제야
장진휘,1.5,코미디 영화 주제에 끝까지 가오잡네
뚱냥,3,스포일러가 포함되어 내용을 생략했습니다.
이장록,2,광기의 추격신은 볼만했다.
제이,3,"스타일이 마녀스럽긴해서 이어지는 세계관인가 싶어서 초능력이 나오나 했는데 아니었음. 일단 그런 초능력 영화는 아님.
-
박훈정 감독 영화스럽게 유치하고 쎈척하는 그 느낌도 있지만 마녀보다는 덜하고 이해할만한 수준이라 괜찮았음.
무대인사하는 회차라 그런지 여자관객이 많아서 그런지 유머에 반응이 좋아서 그랬는지 나도 덩달아 더 재밌게 봄.
배우들이 너무 찰떡이라 이질감도 없었고 연기도 좋고 액션도 좋고 19세 영화긴하지만 예상보단 너무 잔인하지도 않아서 좋았다.
전에도 그랬지만 쿠엔틴 영화같은 마지막 액션의 쾌감이 있다. 스토리로 빌드업하다가 마지막 액션으로 마무리하는 것도 좋음."
권윤,1.5,"어떤 걸 원햇는지 잘모르겟음
유머?도 아쉽..
액션?도 아쉽..
결말?도 애매..
피칠갑만 남앗묘.."
조성빈,3,"단순한 건 좋지만, 그렇다고 중요한 것들을 놓치면 안된다."
레빗구미,2.5,액션 정도는 볼만하다고 해도 이상한 유머와 서사가 통쾌한 맛을 많이 줄여버린다.
도라에몽이,0.5,"기존의 영화 ‘마녀’와 ‘신세계’으로 인하여 본 영화에
대한 기대감이 너무 컸던 것인가…

처음, 중간, 마지막, 쿠키 영상까지 웃음, 감동 등의 포인트를 어디인지 갈피를 잡을 수 없었다는…"
bliss,1.5,"박훈정 감독 정말 실망입니다. 이딴걸 영화라고 만드셨나요?
근데 그 노르웨이 정도에나 있을법한 숲길은 한국어디에 있는거에요? 그나마 그거 하나 건졌네요"
정오,3,좀 오글거리긴 한데 나름 재밌게 봤다
노곤노곤,3,단순한 서사에 박훈정식 액션 솔솔 뿌리기
이올린,3,25프로 부족한 만족스런 킬러의 설정값.
김대현,2.5,반복적 클리셰의 아쉬움. 김선호의 재발견
김석원,2.5,액션과 추격전은 긴박하긴 한데
믿음,3,김선호 멋지네..
다섬,3,달리기 영화인지 코미디 영화인지 액션은 어디갔지
Hh,2,"제목 그냥 김선호로 하지 그래써
김선호 얼굴만 보다 끝났다
오글거리는 대사는 감독 특유의 것이니 백만 번 이해한다 해도
나머지는 뭐하는 건지 모르겠음
그래도 마르코 역 배우는 다른 작품에서 다른 연기로 또 보고 싶더라
끝!"
김달훈,3,아.. 차는 BMW M 이지.. 이건 명백한 실수
밤에먹는달,3,"​

김선호 배우 팬을 위한 영화

​"
유경쓰,3,"김선호 첫 영화 들어간다고 할 때부터 기대하고 기다렸다.
많은 일들이 있었지만 김선호이기 때문에 냉철한 평가를 할 수가 없다. 여전히 배우로서 김선호를 좋아한다. 더 자주 볼 수 있었음 좋겠다."
문이,1,"멋있고 싶은데 멋있지 않고,
웃기고 싶은데 웃기지 않고,
사이다스럽고 싶은데 사이다스럽지 않은 느낌.

존윅의 화려한 액션과
범죄도시의 마동석의 유머러스함을
억지로 캐릭터에 넣다보니
오합지졸이며 캐릭터가 매력스럽지 않음.

또 주인공이 누군지도 모르겠음.

왜 영화가 귀공자인지 생각 엄청했는데
김선호 배우의 캐릭터 이름이 귀공자였네 ㅋㅋㅋ"
딴따라,2,"어디서 본 듯한 화면 (마녀, 낙원의 밤스러운 화면이 계속 나온다)
마르코의 존재감 0 (권투 장면까지 보여줘놓고 이 친구는 도대체가 하는 게 없음)
대체 경찰 어디 감? (제발)
말도 안 되는 높이에서 뛰어내릴 때 갑자기 마녀 찍을까 봐 무서웠다 (늑대사냥의 트라우마)
달려라 마르코 (추격전이 힘이 쭉쭉 빠진다)
감독님 취향 정말 한결같음 (이쁜 여캐+총)
대사가 너무 안 좋다 (이쯤 되면 아이덴티티라고 해도 무방)
왜 이렇게 영어에 집착할까? (알 수 없음)
코미디가 너무 안 터짐 (정적의 영화관)

솔직히 마녀2에 너무 실망했어서 큰 기대는 않고 갔더니 볼만했다. 마녀2 보단 덜 지루한 거 같다
김선호...의 캐릭터도 과도한 개그 시도만 빼면 의외로 괜찮아서 놀랐고 김강우의 연기도 좋았다
그러나 2시간동안의 영화 감상 후 느낀 감정은 '잘봤다~' 라거나 '재밌었다~' 보단 '피곤하다...' 혹은 '이게 뭐지'

단순한 얘기를 굳이 길게 늘려서 하는 듯한
뭔가 몰아치고 있다는 느낌은 강하나 갈수록 긴장감이 증발한다"
상우두,3,귀공자 아닙니다
남누리,2.5,벤츠와 김선호의 파란만장 스토리
LostStarB612,3,박훈정 장르에 유쾌함을 더한다고 해서 더 재미있는 작품이 탄생하지 않는다. 원래의 장점만 더 희미해질뿐
KIM YUN,3,"박훈정 감독 특유의 카메라 각도와 같은 연출이 감독만의 개성을 잘 표현한다지만, 전개와 스토리는 이전에 나왔던 영화 젠틀맨과 같은 장르의 영화와 크게 다르지 않다."
셩이,3,전작들에 너무 실망했어서 그런지 생각보다 재밌었음
제로콜라,3.5,매력적인 연기와 반전이 좋은 영화
Nature,3,무대인사 봤는데 제목이 곧 김선호다. 실물 저세상 종족이네... 역대급이다 우와... 홀린 듯 다음 회차 무대인사 또 예매할 뻔했네... 영화 내용은 별 거 없는데 중간중간 김선호 김강우 배우 티키타카가 풋 정도로 웃기고 생각보다 귀공자가 고운 얼굴로 뻔뻔하게 농담을 잘한다. 김강우 배우도 연기를 참 잘하는 배우 같은데 정해진 역할만 하는 것 같아서 좀 아쉽...!
장호준,3,"지극히 단선적이고 양아치스러운 캐릭터들, 과도한 피칠갑으로 가득한 폭력묘사, 기시감을 일으키는 망가적인 설정 등 ‘박훈정 월드’는 영화 팬들에게는 비아냥적인 의미로 사용되곤 한다. 하지만 한편으로는 한국 상업 영화의 울타리 내에서 꾸준한 장르물을 생산해내고 그 결과가 상업적 성공과 이어진다는 점에서 ‘박훈정 월드’ 나름의 의미가 있다고 생각된다.
각본상에 발견되는 ‘데우스 엑스 마키나’나 위악적인 캐릭터 설정, 대사로 설명되는 상황 등의 요소들이 거슬리지 않는 것은 아니지만, 개인적으로 [귀공자]는 김선호가 연기한 킬러 ’귀공자‘의 캐릭터성이 꽤 신선한 편이라 비교적 즐겁게 본 영화다. 소재적인 부분에 불과하긴 하지만 ‘코피노’라는 정체성을 캐릭터의 성격을 부여하는데 나름의 현실성을 매개하는 요소였다고 생각된다.
사실 [귀공자]의 각본적 요소는 여러 면에서 근본적인 문제를 떠안고 있지만, 연기, 촬영, 음악, 공간 등 장면 자체의 완성도의 쾌감은 ’가성비‘를 따져보면 나름의 즐거움을 갖추고 있는 것 역시 사실이다.
문제는 전술한 박훈정 영화에 대해 기대할 것과 기대하지 않을 것이 점점 분명해진다는 점이다. 어떤 의미에서 이제 박훈정 영화는 B무비의 영역에서 검토되어야하는 것이 아닌가 싶다."
KOMOEDIA,2,"누아르를 흉내내는 블랙 코미디, 그러나 대부분 헛웃음"
서준,1.5,진짜 마지막대사 그대로 Fuck🙄
Jason Bourne,3,마녀 1이 쏘아 올린 귀공자 캐릭터가 솔로 무비까지 올 줄은 몰랐다. 마녀와는 사뭇 다른 젠틀함과 유머러스함을 겸비한 채 돌아온 귀공자는 여기서도 한 사람을 쫓는다. 마녀의 귀공자와 다른 점은 상당히 집착이 강하다는 거와 맑눈광에서 나오는 그 광기가 이유를 모르면 무섭게 다가온다. 약간 무거울 수도 있는 영화였지만 중간중간에 코믹 요소가 있어서 긴장을 풀어줬고 진지할 때는 진지해서 해를 끼치지 않고 선을 잘 지켰다. 마녀만큼이나 잔인했지만 볼만한 누아르였다. 귀공자의 다음 행보가 궁금하다.
ryu,3,"박훈정이 또 괴랄한걸 만들어냈다
근데 짜증나게 꽤나 마음에 들어서 자존심 상함
박훈정에게 일말의 기대도 없어서 그런걸까"
유진,3,스포일러가 포함되어 내용을 생략했습니다.
롤린스,3,"생각보다 나쁘지는 않았는데 중간 부분이 너무 지루하고 처진다.
차라리 후반부의 가벼운 톤을 처음부터 가져갔으면 어땠을까 하는 생각이 든다.

+ 박훈정이 대본의 욕심을 버린다면 훨씬 좋은 영화를 만들 수 있을 것이라 여전히 생각. 연출은 늘 좋은 듯."
처뤼,2.5,이쯤되면 <신세계>와 <마녀1>이 실수였던건가?
CGV SVIP,2.5,"내가 진짜 신세계때부터 극혐한 이구역의 박훈정 헤이터인데, 범죄도시3보다 재밌다 그리고 김강우가 이상하게 연기가 괜찮다 내가 적응한걸까"
이수진,3,재미없는데 재미 있었던 이상한 영화
웽ㅇ,3,"김선호 캐릭터만 흥미롭고, 감독이 김선호 짝사랑 하고 있대도 믿음. 다른 애들은.. 마르코 앵무새.. 그리고 김강우 그런 역할 그만해. 지겨워. 너무.. 지겨워"
이순,3,"건대입구 롯데시네마에서
아윤 유한 유진이랑 봤다
내가 보자 했었는데 초반에 너무 재미없어서 돈 안받아야겠다 하다가 막판에 나쁘지 않아서 받았다 ㅋ"
관우,3,"느와르 느낌과 색감은 좋았다.

ps)마르코는 잘보임~^^"
유리,3,스포일러가 포함되어 내용을 생략했습니다.
짱유나,2.5,그래요. 벤츠 좋은 거 알겠다구요.
어쩌다보닝,3,존윅 향 첨가
